id,ticket_text,true_category,predicted_category_controlled_v1,reasoning_controlled_v1,correct_controlled_v1,allowed_controlled_v1,missing_exact_match_feedback_controlled_v1,missing_allowed_feedback_controlled_v1,status_controlled_v1,error_controlled_v1,latency_controlled_v1,tokens_controlled_v1,cost_controlled_v1,experiment_controlled_v1,predicted_category_focused_v2,reasoning_focused_v2,correct_focused_v2,allowed_focused_v2,missing_exact_match_feedback_focused_v2,missing_allowed_feedback_focused_v2,status_focused_v2,error_focused_v2,latency_focused_v2,tokens_focused_v2,cost_focused_v2,experiment_focused_v2,source_row,supplied_baseline_prediction,supplied_baseline_reasoning,supplied_baseline_result,supplied_correct,controlled_matches_supplied_prediction,prediction_changed_v1_to_v2,outcome,failure_group_from_supplied_workbook
t000,"Hi, I ordered a blender 5 days ago and the tracking page hasn't updated. Can you tell me where it is?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,1,1,0,0,success,,0.615839,241.0,4.695e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status of their order and tracking information.,1,1,0,0,success,,0.601897,308.0,5.745e-05,cs-routing-official150-focused-v2-61199498,15,order_status,Customer is asking about the status and tracking of an order that hasn't shipped.,Pass,1,1,0,stable_pass,
t001,"Hey, placed an order for a blender 5 days back and the tracking still shows nothing. Where is it?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,1,1,0,0,success,,0.659469,239.0,4.665e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status and tracking of their order.,1,1,1,1,success,,1.187226,305.0,5.655e-05,cs-routing-official150-focused-v2-61199498,16,order_status,Customer wants tracking info on a 5-day-old order — classic order_status request.,Pass,1,1,0,stable_pass,
t002,"So I ordered a blender on Monday, supposedly it shipped, but the tracking page is dead. What's going on?",order_status,order_status,The customer is inquiring about the status of their order and tracking information.,1,1,0,0,success,,0.628276,240.0,4.725e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status of their order and tracking information.,1,1,0,0,success,,0.664106,306.0,5.715e-05,cs-routing-official150-focused-v2-61199498,17,order_status,Customer is inquiring about a broken tracking link and the location of their order.,Pass,1,1,0,stable_pass,
t003,My package was supposed to arrive yesterday but it's still not here. Order #44812.,order_status,order_status,The customer is inquiring about the status of their package delivery.,1,1,0,0,success,,0.573276,233.0,4.53e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the delivery status of their order.,1,1,1,1,success,,0.666031,299.0,5.52e-05,cs-routing-official150-focused-v2-61199498,18,order_status,Customer is asking about a delayed delivery for a specific order — order_status.,Pass,1,1,0,stable_pass,
t004,Order #44812 was due yesterday and hasn't shown up. Any update?,order_status,order_status,The customer is inquiring about the status of their order and its delivery.,1,1,0,0,success,,0.794638,232.0,4.605e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status of their order that is delayed.,1,1,0,0,success,,0.604116,298.0,5.595e-05,cs-routing-official150-focused-v2-61199498,19,order_status,Customer is asking for a delivery update on a specific order.,Pass,1,1,0,stable_pass,
t005,Where's my package? Was supposed to arrive yesterday — order #44812 if that helps.,order_status,order_status,The customer is inquiring about the status and delivery of their order.,1,1,0,0,success,,0.582353,235.0,4.605e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status and delivery of their package.,1,1,0,0,success,,0.590706,301.0,5.595e-05,cs-routing-official150-focused-v2-61199498,20,order_status,Customer wants the delivery status of a specific package.,Pass,1,1,0,stable_pass,
t006,Tracking link in the email just spins forever. Order #88421.,order_status,order_status,The customer is inquiring about the status of their order due to a tracking link issue.,1,1,1,1,success,,0.72814,234.0,4.77e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the tracking link for their order.,1,1,0,0,success,,0.894324,295.0,5.46e-05,cs-routing-official150-focused-v2-61199498,21,order_status,Customer has a broken tracking link — they're trying to check on their order.,Pass,1,1,0,stable_pass,
t007,"Hey, the tracking link you emailed me for order 88421 doesn't load — just keeps spinning. Help?",order_status,order_status,The customer is inquiring about the tracking link for their order.,1,1,1,1,success,,0.620916,237.0,4.59e-05,cs-routing-official150-baseline-v1-20606161,order_status,"The customer is asking for help with a tracking link for their order, which relates to order status.",1,1,0,0,success,,0.678098,310.0,6e-05,cs-routing-official150-focused-v2-61199498,22,order_status,Customer's tracking URL is broken; they want to know where their order is.,Pass,1,1,0,stable_pass,
t008,Tracking URL is broken. Order 88421. Can you tell me where the package is?,order_status,order_status,The customer is inquiring about the status and tracking of their order.,1,1,0,0,success,,0.565206,235.0,4.605e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status and tracking of their order.,1,1,1,1,success,,0.616383,301.0,5.595e-05,cs-routing-official150-focused-v2-61199498,23,order_status,Customer is asking for an alternative way to track their order.,Pass,1,1,0,stable_pass,
t009,"Order shows delivered last Tuesday but it's not at my door, my neighbor's, or the mailroom. What now?",order_status,order_status,The customer is inquiring about the status of their order and its delivery.,1,1,0,0,success,,0.820706,241.0,4.74e-05,cs-routing-official150-baseline-v1-20606161,order_status,The customer is inquiring about the status of their order and its delivery location.,1,1,0,0,success,,0.717372,308.0,5.79e-05,cs-routing-official150-focused-v2-61199498,24,order_status,Customer's order is marked delivered but they didn't receive it — order_status investigation.,Pass,1,1,0,stable_pass,
