id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t000,"Hi, I ordered a blender 5 days ago and the tracking page hasn't updated. Can you tell me where it is?",order_status,order_status,The customer is inquiring about the status of their order due to stale tracking information.,True,focused_routing_policy_v2,v2,,
t001,"Hey, it's been 5 days since I ordered my blender and the tracking info still hasn't changed. What’s going on with my order?",order_status,order_status,The customer is inquiring about the status of their order due to stale tracking information.,True,focused_routing_policy_v2,v2,,
t002,"Hello, I placed an order for a blender five days ago and my tracking status hasn't budged. Can you provide an update on its whereabouts?",order_status,order_status,"The customer is inquiring about the tracking status of their order, indicating a potential delay or issue with delivery.",True,focused_routing_policy_v2,v2,,
t003,"So, I ordered a blender five days ago, and the tracking page still says nothing. Can you please let me know what's happening?",order_status,order_status,The customer is inquiring about the status of their order due to a lack of tracking information.,True,focused_routing_policy_v2,v2,,
t004,I never received my order and I want my money back.,order_status,order_status,"The underlying problem is that the order was never received, which falls under order_status.",True,focused_routing_policy_v2,v2,,
t005,"I've been waiting for my order, and it's still not here! I demand a refund immediately!",order_status,order_status,"The underlying problem is that the order is missing and not delivered, despite the request for a refund.",True,focused_routing_policy_v2,v2,,
t006,"Hello, I'm reaching out because my order hasn't arrived yet. Could you please help me get a refund? My order number was 12543. Thank you!",order_status,order_status,"The underlying problem is that the order hasn't arrived, which falls under order_status.",True,focused_routing_policy_v2,v2,,
t007,"Order #98765 is missing, and I'm pretty upset about it. Can you just refund me already?",order_status,order_status,"The underlying problem is that the order is missing, which falls under order_status.",True,focused_routing_policy_v2,v2,,
t008,"Order shows delivered last Tuesday but it's not at my door, my neighbor's, or the mailroom. What now?",order_status,order_status,"The order is reported as delivered but is missing, indicating a delivery issue.",True,focused_routing_policy_v2,v2,,
t009,"I was tracking my order #12345 for the Bluetooth headphones, and it says it was delivered last Tuesday, but it’s nowhere to be found! It’s not at my place, my neighbor’s, or even in the mailroom. What do I do next?",order_status,order_status,The customer is reporting that their order is marked as delivered but is missing.,True,focused_routing_policy_v2,v2,,
t010,"I received a notification that my order #98765 for the kitchen gadgets was marked as delivered last Tuesday, but I can’t find it anywhere—neither at my door, nor in the mailroom, or with the neighbors. Can you help me resolve this?",order_status,order_status,The customer is inquiring about a missing order that was marked as delivered.,True,focused_routing_policy_v2,v2,,
t011,"So, my order #54321 for the athletic shoes shows as delivered last Tuesday, but I’ve looked everywhere—my door, the mailroom, and even asked the neighbors. What’s the next step? This is getting frustrating!",order_status,order_status,The customer is inquiring about a missing order that shows as delivered but has not been received.,True,focused_routing_policy_v2,v2,,
t012,The website said 2-day shipping. It's been 9 days. Are you kidding me?,order_status,order_status,The customer is inquiring about a delayed order that has not arrived as expected.,True,focused_routing_policy_v2,v2,,
t013,I can't believe it's been 9 days and my order hasn't arrived yet. The website promised 2-day shipping. What gives?,order_status,order_status,The customer is inquiring about the delay in delivery of their order.,True,focused_routing_policy_v2,v2,,
t014,"I ordered my items over a week ago with the expectation of 2-day shipping, and here I am still waiting! Can you explain this delay?",order_status,order_status,The customer is inquiring about a delay in the delivery of their order.,True,focused_routing_policy_v2,v2,,
t015,"Seriously, I was told my package would arrive in 2 days, but it's been 9 days now. What on earth is going on?",order_status,order_status,The customer is inquiring about the delay in the delivery of their package.,True,focused_routing_policy_v2,v2,,
t016,Tracking link in the email just spins forever. Order #88421.,order_status,order_status,"The tracking link is not functioning, indicating a potential issue with the order's delivery status.",True,focused_routing_policy_v2,v2,,
t017,The tracking link you sent in the email just keeps loading indefinitely. This is for my order #88421.,order_status,order_status,"The customer is experiencing an issue with tracking their order, indicating a problem with order status.",True,focused_routing_policy_v2,v2,,
